name,category,year,is_laureate
AJFM Brochant de Villiers,,,false
Aage Bohr,Physics,1975,true
Aaron Bendich,,,false
Aaron Ciechenover,Chemistry,2004,true
Aaron Ihde,,,false
Aaron Klug,Chemistry,1982,true
Abdus Salam,Physics,1979,true
Abraham Braude,,,false
Abraham Errara,,,false
Abraham Kastner,,,false
Abraham Werner,,,false
Abram Ioffe,,,false
Ada Yonath,Chemistry,2009,true
Adam Nietzki,,,false
Adam Riess,Physics,2011,true
Adam Sedgwick,,,false
Adolf Butenandt,Chemistry,1939,true
Adolf Claus,,,false
Adolf Lieben,,,false
Adolf Matthias,,,false
Adolf Strecker,,,false
Adolf Svanberg,,,false
Adolf Wagner,,,false
Adolf Windaus,Chemistry,1928,true
Adolf Winkelmann,,,false
Adolf Wullner,,,false
Adolf von Baeyer,Chemistry,1905,true
Adolph Vorstius,,,false
Adolphe Brongniart,,,false
Adolphe Wurtz,,,false
Adriaan Heerebord,,,false
Adriaan Noyons,,,false
Adriaan van Royen,,,false
Adriaan van den Spieghel,,,false
Adrianus Heynsius,,,false
Adrianus van Valckenburg,,,false
Aharon Katzir-Katchalsky,,,false
Ahmed Zewail,Chemistry,1999,true
Aime Cotton,,,false
Akira Suzuki,Chemistry,2010,true
Akiro Yoshino,Chemistry,2019,true
Alain Aspect,Physics,2022,true
Alan Beatty,,,false
Alan Heeger,Chemistry,2000,true
Alan Hodgkin,Medicine,1963,true
Alan MacDiarmid,Chemistry,2000,true
Alan Portis,,,false
Albert Brachet,,,false
Albert Calmette,,,false
Albert Claude,Medicine,1974,true
Albert Cotton,,,false
Albert Crewe,,,false
Albert Dalcq,,,false
Albert Dastre,,,false
Albert Dorfman,,,false
Albert Einstein,Physics,1921,true
Albert Fert,Physics,2007,true
Albert Fischer,,,false
Albert Frey-Wyssling,,,false
Albert Heim,,,false
Albert Hilger,,,false
Albert Hill,,,false
Albert Kluyver,,,false
Albert Ladenburg,,,false
Albert Lehninger,,,false
Albert Mathews,,,false
Albert Michelson,Physics,1907,true
Albert Neuberger,,,false
Albert Prescott,,,false
Albert Rees,,,false
Albert Schultens,,,false
Albert Sievers,,,false
Albert Tucker,,,false
Albert Tyler,,,false
Albert Wills,,,false
Albert von Bezold,,,false
Albert von Graefe,,,false
Albert von Kolliker,,,false
Albert von Szent-Gyorgyi,Medicine,1937,true
Albion Small,,,false
Albrecht Kossel,Medicine,1910,true
Aleksander Borodin,,,false
Aleksandr Dianin,,,false
Aleksandr Lyapunov,,,false
Aleksandr Prokhorov,Physics,1964,true
Alexander Agassiz,,,false
Alexander Braun,,,false
Alexander Brill,,,false
Alexander Brown,,,false
Alexander Classen,,,false
Alexander Davydov,,,false
Alexander Fleming,Medicine,1945,true
Alexander Forbes,,,false
Alexander Friedman,,,false
Alexander Hamilton,,,false
Alexander Muller,Physics,1987,true
Alexander Ogston,,,false
Alexander Rich,,,false
Alexander Robertson,,,false
Alexander Rollett,,,false
Alexander Russell,,,false
Alexander Todd,Chemistry,1957,true
Alexander Williamson,,,false
Alexander Wood,,,false
Alexander de Bie,,,false
Alexander von Humboldt,,,false
Alexandre Besredka,,,false
Alexandre Brongniart,,,false
Alexei Abrikosov,Physics,2003,true
Alexei Filippenko,,,false
Alexis Boyer,,,false
Alexis Carrel,Medicine,1912,true
Alexis Clairaut,,,false
Alfonso Sella,,,false
Alfred Blomquist,,,false
Alfred Cole,,,false
Alfred Cornu,,,false
Alfred Einhorn,,,false
Alfred Fessard,,,false
Alfred Gilman,Medicine,1994,true
Alfred Hershey,Medicine,1969,true
Alfred Hoche,,,false
Alfred Kastler,Physics,1966,true
Alfred Koch,,,false
Alfred Kuhn,,,false
Alfred Mirsky,,,false
Alfred North Whitehead,,,false
Alfred Redfield,,,false
Alfred Richards,,,false
Alfred Schittenhelm,,,false
Alfred Stewart,,,false
Alfred Stock,,,false
Alfred Sturtevant,,,false
Alfred Taylor,,,false
Alfred Tissieres,,,false
Alfred Volkmann,,,false
Alfred Vulpian,,,false
Alfred Weber,,,false
Alfred Werner,Chemistry,1913,true
Alfred Wilhelmi,,,false
Allan Cormack,Medicine,1979,true
Allan Wilson,,,false
Allen Day,,,false
Allen Fraser,,,false
Allen Maxwell,,,false
Allen Wallis,,,false
Allvar Gullstrand,Medicine,1911,true
Allyn Abbott Young,,,false
Almroth White,,,false
Almroth Wright,,,false
Alois Kornmuller,,,false
Alonzo Taylor,,,false
Alphonse de Candolle,,,false
Alvyn Saunders Johnson,,,false
Alwin Pappenheimer,,,false
Amedee Cailliott,,,false
Amos Eaton,,,false
Anders Celsius,,,false
Anders Duhre,,,false
Anders Ekeberg,,,false
Anders Spole,,,false
Andre Cournand,Medicine,1956,true
Andre Geim,Physics,2010,true
Andre Herpin,,,false
Andre Lwoff,Medicine,1965,true
Andre-Marie Ampere,,,false
Andrea Ghez,Physics,2020,true
Andrea Naccari,,,false
Andreas Lipp,,,false
Andreas Marggraf,,,false
Andreas Roeschlaub,,,false
Andreas Rugemer,,,false
Andreas Smits,,,false
Andreas Weiss,,,false
Andreas von Ettingshausen,,,false
Andres Stoppani,,,false
Andrew Fire,Medicine,2006,true
Andrew Forsyth,,,false
Andrew Huxley,Medicine,1963,true
Andrew Lawson,,,false
Andrew Peabody,,,false
Andrew Plummer,,,false
Andrew Schally,Medicine,1977,true
Andrew Sellards,,,false
Andrew White,,,false
Angelo Battelli,,,false
Angelo Mosso,,,false
Anthony Cerami,,,false
Anthony Leggett,Physics,2003,true
Anthony Sims,,,false
Anthony Stanley,,,false
Anthony van der Boon Mesch,,,false
Antoine Francois,,,false
Antoine-Jerome Balard,,,false
Antoine-Laurent de Jussieu,,,false
Antoine-Laurent de Lavoisier,,,false
Antoine-Louis Brongniart,,,false
